Iteration,Experiment,Train_EnvstepsSoFar,Eval_AverageReturn,seed,batch size,learning rate
0,b1024_r0.009,1024.0,13.533333778381348,seed_0,1024.0,0.009
1,b1024_r0.009,2049.0,35.16666793823242,seed_0,1024.0,0.009
2,b1024_r0.009,3124.0,40.099998474121094,seed_0,1024.0,0.009
3,b1024_r0.009,4180.0,49.66666793823242,seed_0,1024.0,0.009
4,b1024_r0.009,5208.0,60.57143020629883,seed_0,1024.0,0.009
5,b1024_r0.009,6240.0,53.875,seed_0,1024.0,0.009
6,b1024_r0.009,7296.0,45.77777862548828,seed_0,1024.0,0.009
7,b1024_r0.009,8334.0,53.875,seed_0,1024.0,0.009
8,b1024_r0.009,9449.0,90.0,seed_0,1024.0,0.009
9,b1024_r0.009,10522.0,63.71428680419922,seed_0,1024.0,0.009
10,b1024_r0.009,11579.0,76.66666412353516,seed_0,1024.0,0.009
11,b1024_r0.009,12655.0,92.5999984741211,seed_0,1024.0,0.009
12,b1024_r0.009,13711.0,74.33333587646484,seed_0,1024.0,0.009
13,b1024_r0.009,14769.0,113.25,seed_0,1024.0,0.009
14,b1024_r0.009,15926.0,106.5,seed_0,1024.0,0.009
15,b1024_r0.009,16970.0,112.75,seed_0,1024.0,0.009
16,b1024_r0.009,18030.0,93.5999984741211,seed_0,1024.0,0.009
17,b1024_r0.009,19127.0,96.5,seed_0,1024.0,0.009
18,b1024_r0.009,20152.0,80.5999984741211,seed_0,1024.0,0.009
19,b1024_r0.009,21299.0,71.16666412353516,seed_0,1024.0,0.009
20,b1024_r0.009,22323.0,67.28571319580078,seed_0,1024.0,0.009
21,b1024_r0.009,23418.0,109.0,seed_0,1024.0,0.009
22,b1024_r0.009,24537.0,103.75,seed_0,1024.0,0.009
23,b1024_r0.009,25575.0,116.5,seed_0,1024.0,0.009
24,b1024_r0.009,26741.0,98.5999984741211,seed_0,1024.0,0.009
25,b1024_r0.009,27832.0,200.0,seed_0,1024.0,0.009
26,b1024_r0.009,28938.0,149.6666717529297,seed_0,1024.0,0.009
27,b1024_r0.009,29974.0,140.0,seed_0,1024.0,0.009
28,b1024_r0.009,31036.0,160.3333282470703,seed_0,1024.0,0.009
29,b1024_r0.009,32210.0,136.0,seed_0,1024.0,0.009
30,b1024_r0.009,33384.0,189.6666717529297,seed_0,1024.0,0.009
31,b1024_r0.009,34656.0,584.0,seed_0,1024.0,0.009
32,b1024_r0.009,35980.0,170.6666717529297,seed_0,1024.0,0.009
33,b1024_r0.009,37143.0,268.5,seed_0,1024.0,0.009
34,b1024_r0.009,38737.0,165.6666717529297,seed_0,1024.0,0.009
35,b1024_r0.009,40113.0,505.0,seed_0,1024.0,0.009
36,b1024_r0.009,41620.0,149.0,seed_0,1024.0,0.009
37,b1024_r0.009,42814.0,495.0,seed_0,1024.0,0.009
38,b1024_r0.009,44321.0,1000.0,seed_0,1024.0,0.009
39,b1024_r0.009,45565.0,1000.0,seed_0,1024.0,0.009
40,b1024_r0.009,46999.0,460.0,seed_0,1024.0,0.009
41,b1024_r0.009,48948.0,383.5,seed_0,1024.0,0.009
42,b1024_r0.009,50698.0,1000.0,seed_0,1024.0,0.009
43,b1024_r0.009,51836.0,909.0,seed_0,1024.0,0.009
44,b1024_r0.009,53440.0,646.0,seed_0,1024.0,0.009
45,b1024_r0.009,55440.0,1000.0,seed_0,1024.0,0.009
46,b1024_r0.009,56599.0,1000.0,seed_0,1024.0,0.009
47,b1024_r0.009,58028.0,412.0,seed_0,1024.0,0.009
48,b1024_r0.009,59224.0,225.0,seed_0,1024.0,0.009
49,b1024_r0.009,60353.0,265.5,seed_0,1024.0,0.009
50,b1024_r0.009,61414.0,120.25,seed_0,1024.0,0.009
51,b1024_r0.009,62521.0,64.0,seed_0,1024.0,0.009
52,b1024_r0.009,63596.0,53.375,seed_0,1024.0,0.009
53,b1024_r0.009,64638.0,41.79999923706055,seed_0,1024.0,0.009
54,b1024_r0.009,65675.0,43.70000076293945,seed_0,1024.0,0.009
55,b1024_r0.009,66722.0,47.77777862548828,seed_0,1024.0,0.009
56,b1024_r0.009,67786.0,49.0,seed_0,1024.0,0.009
57,b1024_r0.009,68815.0,55.875,seed_0,1024.0,0.009
58,b1024_r0.009,69864.0,57.375,seed_0,1024.0,0.009
59,b1024_r0.009,70891.0,59.14285659790039,seed_0,1024.0,0.009
60,b1024_r0.009,71942.0,58.0,seed_0,1024.0,0.009
61,b1024_r0.009,73016.0,80.19999694824219,seed_0,1024.0,0.009
62,b1024_r0.009,74117.0,110.25,seed_0,1024.0,0.009
63,b1024_r0.009,75382.0,180.0,seed_0,1024.0,0.009
64,b1024_r0.009,76776.0,205.6666717529297,seed_0,1024.0,0.009
65,b1024_r0.009,78002.0,164.0,seed_0,1024.0,0.009
66,b1024_r0.009,79177.0,174.3333282470703,seed_0,1024.0,0.009
67,b1024_r0.009,80751.0,101.19999694824219,seed_0,1024.0,0.009
68,b1024_r0.009,81884.0,115.75,seed_0,1024.0,0.009
69,b1024_r0.009,83034.0,167.6666717529297,seed_0,1024.0,0.009
70,b1024_r0.009,84195.0,720.0,seed_0,1024.0,0.009
71,b1024_r0.009,85488.0,377.5,seed_0,1024.0,0.009
72,b1024_r0.009,87342.0,1000.0,seed_0,1024.0,0.009
73,b1024_r0.009,89342.0,1000.0,seed_0,1024.0,0.009
74,b1024_r0.009,91342.0,1000.0,seed_0,1024.0,0.009
75,b1024_r0.009,93342.0,1000.0,seed_0,1024.0,0.009
76,b1024_r0.009,95342.0,1000.0,seed_0,1024.0,0.009
77,b1024_r0.009,97354.0,1000.0,seed_0,1024.0,0.009
78,b1024_r0.009,99354.0,1000.0,seed_0,1024.0,0.009
79,b1024_r0.009,101354.0,1000.0,seed_0,1024.0,0.009
80,b1024_r0.009,103354.0,1000.0,seed_0,1024.0,0.009
81,b1024_r0.009,105354.0,1000.0,seed_0,1024.0,0.009
82,b1024_r0.009,107354.0,1000.0,seed_0,1024.0,0.009
